aweme_id,aweme_type,title,desc,create_time,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,last_modify_ts,aweme_url,source_keyword
7413691825220783412,0,传承非遗技艺，赓续文化薪火 齐鲁师范学院新生军训亮绝活大秀变脸#军训 #绝活必须展示一下 #变脸,传承非遗技艺，赓续文化薪火 齐鲁师范学院新生军训亮绝活大秀变脸#军训 #绝活必须展示一下 #变脸,1726134657,97296341189,MS4wLjABAAAAYe8-875rkk7g8ZaCdtAAzsckkrFltS6ZpGS4nyN5xOo,,,,齐鲁师范学院,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_ogeAPBeIfAxKOXEGEgER7iAoAnQ0LQBAGhGJKJ.jpeg?from=327834062&card_type=153&column_n=0,951,36,191,614,,1737639196249,https://www.douyin.com/video/7413691825220783412,齐鲁师范，新生军训，军训
7282013715598216509,0,强国有我！齐鲁师范学院2023级新生军训汇报表演#军训#济南高校,强国有我！齐鲁师范学院2023级新生军训汇报表演#军训#济南高校,1695475948,97296341189,MS4wLjABAAAAYe8-875rkk7g8ZaCdtAAzsckkrFltS6ZpGS4nyN5xOo,,,,齐鲁师范学院,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_ogeAPBeIfAxKOXEGEgER7iAoAnQ0LQBAGhGJKJ.jpeg?from=327834062&card_type=153&column_n=0,1648,68,173,1155,,1737639196256,https://www.douyin.com/video/7282013715598216509,齐鲁师范，新生军训，军训
7414086749309127976,0,酷炫！新生军训上演非遗文化川剧变脸,酷炫！新生军训上演非遗文化川剧变脸,1726226597,93288642596,MS4wLjABAAAAxA44mxJVod_Aq5wc0cZrbZHJ2S_DnoJctGpb_mOvsxs,,,,新华社,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/douyin-user-private-image_lilanxin.369_d52b51cfd28cc8f1c29475433710b182405f5202bf22519b9d07b717065fcc32.jpeg?from=327834062&card_type=153&column_n=0,6992,279,13,503,,1737639196262,https://www.douyin.com/video/7414086749309127976,齐鲁师范，新生军训，军训
7417020445322530102,0,2024军训结营｜秣马扬帆，青春启航#军训结营 #大一新生 #迷彩青春 #齐鲁师范学院青年,2024军训结营｜秣马扬帆，青春启航#军训结营 #大一新生 #迷彩青春 #齐鲁师范学院青年,1726909663,99064100655,MS4wLjABAAAAx_UlTn6w3n1QnJsrQL_HFAYA2VzXspumhrMHdFb4JAU,,,,齐鲁师范学院青年,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_53335c50e0028eb991d70a9addc0aa8e.jpeg?from=327834062&card_type=153&column_n=0,345,13,31,178,,1737639196267,https://www.douyin.com/video/7417020445322530102,齐鲁师范，新生军训，军训
7278602043542080828,0,新生上演“比武大会”#最难忘的瞬间,新生上演“比武大会”#最难忘的瞬间,1694681611,97296341189,MS4wLjABAAAAYe8-875rkk7g8ZaCdtAAzsckkrFltS6ZpGS4nyN5xOo,,,,齐鲁师范学院,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_ogeAPBeIfAxKOXEGEgER7iAoAnQ0LQBAGhGJKJ.jpeg?from=327834062&card_type=153&column_n=0,670,23,76,401,,1737639196271,https://www.douyin.com/video/7278602043542080828,齐鲁师范，新生军训，军训
7417079953465822464,0,齐鲁师范学院2024级学生军训成果汇报暨总结表彰大会#军训汇演 #表彰大会 #齐鲁师范学院,齐鲁师范学院2024级学生军训成果汇报暨总结表彰大会#军训汇演 #表彰大会 #齐鲁师范学院,1726923507,97296341189,MS4wLjABAAAAYe8-875rkk7g8ZaCdtAAzsckkrFltS6ZpGS4nyN5xOo,,,,齐鲁师范学院,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_ogeAPBeIfAxKOXEGEgER7iAoAnQ0LQBAGhGJKJ.jpeg?from=327834062&card_type=153&column_n=0,1183,73,148,933,,1737639196284,https://www.douyin.com/video/7417079953465822464,齐鲁师范，新生军训，军训
7414388029332196608,0,酷炫！新生军训上演非遗文化#川剧变脸,酷炫！新生军训上演非遗文化#川剧变脸,1726296757,79729423173,MS4wLjABAAAA-RQUfqqPV_pdEI-21ZdbMzqQOFoBLL7tIhFec2yH2ds,,,,青春上海,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_99d8099571ac017a6b8b61b0bee04e0d.jpeg?from=327834062&card_type=153&column_n=0,591,8,3,9,,1737639196290,https://www.douyin.com/video/7414388029332196608,齐鲁师范，新生军训，军训
7416691531463019815,0,2024级军训汇演倒计时一天，大家敬请期待！！#军训时光 #军训汇演彩排 #齐鲁师范学院青年#大一新生,2024级军训汇演倒计时一天，大家敬请期待！！#军训时光 #军训汇演彩排 #齐鲁师范学院青年#大一新生,1726833069,99064100655,MS4wLjABAAAAx_UlTn6w3n1QnJsrQL_HFAYA2VzXspumhrMHdFb4JAU,,,,齐鲁师范学院青年,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_53335c50e0028eb991d70a9addc0aa8e.jpeg?from=327834062&card_type=153&column_n=0,259,10,17,179,,1737639196295,https://www.douyin.com/video/7416691531463019815,齐鲁师范，新生军训，军训
7413256874352446755,0,齐鲁师范学院新生军训间隙表演川剧变脸，全场沸腾！#齐鲁师范学院学前教育学院 #齐鲁师范学院 #军训表演 #军训dou出彩,齐鲁师范学院新生军训间隙表演川剧变脸，全场沸腾！#齐鲁师范学院学前教育学院 #齐鲁师范学院 #军训表演 #军训dou出彩,1726033394,99764410438,MS4wLjABAAAAvqM2jLMbwupsbmHlIW7eyC8HFpaf66udo7cyktZdLKs,,,,齐鲁师院学前教育学院,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/douyin-user-private-image_4e8da479db2d77d43e1a03a521297b60_99764410438.jpeg?from=327834062&card_type=153&column_n=0,1500,36,285,2653,,1737639196300,https://www.douyin.com/video/7413256874352446755,齐鲁师范，新生军训，军训
7279223448176479524,0,齐鲁师范学院新生军训上演武林大会#向全球推广中华文化,齐鲁师范学院新生军训上演武林大会#向全球推广中华文化,1694826291,102160438892,MS4wLjABAAAARWl3CI5YSSKeKXgFEYqtWXXeGpSLCsxmbhhoBCFovjw,,,,天天武术,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_d01bf5c657e74a359e2c674a0076290e.jpeg?from=327834062&card_type=153&column_n=0,5,0,0,0,,1737639196304,https://www.douyin.com/video/7279223448176479524,齐鲁师范，新生军训，军训
